Write ^vb++++=Write
a ^at++++=a
poem ^nn++++=poem
in ^in++++=in
the ^ati++++=the
style ^nn++++=style
of ^in++++=of
Dr ^npt++++=Dr
. ^zz++++=.
Seuss ^np++++=Seuss
that ^tht+rel+subj++=that
describes ^vbz++++=describes
what ^wdt+who+++=what
would ^md+prd+++=would
probably ^rb++splt++=probably
happen ^vb+++??+=happen
if ^cs+cnd+++=if
the ^ati++++=the
United ^np++++=United
States ^nns++++=States
Government ^nn+nom+++=Government
tried ^vbd+++xvbn+=tried
to ^to+vcmp+++=to
forcibly ^rb++splt++=forcibly
take ^vbi++++=take
firearms ^nns++++=firearms
away ^in+pl+++=away
from ^in"++++=from
american ^jj+atrb+++=American
citizens ^nns++++=Citizens
. ^zz++++=.
