Can ^md+pos+++=Can
you ^pp2+pp2+++=you
code ^nn++++=code
me ^pp1o+pp1+++=me
a ^at++++=a
Tampermonkey ^np+++??+=Tampermonkey
script ^nn++++=script
that ^tht+rel+subj++=that
will ^md+prd+++=will
capture ^vb++++=capture
the ^ati++++=the
current ^jj+atrb+++=current
frame ^nn++++=frame
of ^in++++=of
the ^ati++++=the
playing ^jj+atrb++xvbg+=playing
video ^nn+++??+=video
and ^cc++++=and
have ^vb+hv+vrb++=have
either ^dtx++++=either
the ^ati++++=the
option ^nn++++=option
to ^to++++=to
save ^vbi++++=save
it ^pp3+it+++=it
, ^zz++++=,
or ^cc+cls+++=or
copy ^nn++++=copy
to ^in++++=to
clipboard ^nn++++=clipboard
? ^zz++++=?
