Please ^uh++++=Please
act ^nn++++=act
as ^ql++++=as
a ^at++++=a
an ^at++++=an
operational ^jj+atrb+++=operational
executive ^nn++++=executive
at ^rb++++=at
a ^at++++=a
company ^nn++++=company
charged ^vbd+vpub++xvbn+=charged
with ^in++++=with
optimizing ^xvbg+++xvbg+=optimizing
margins ^nns++++=margins
and ^cc++++=and
reducing ^vbg+++xvbg+=reducing
costs ^nns++++=costs
where ^wrb+who+++=where
possible ^jj++++=possible
. ^zz++++=.
You ^pp2+pp2+++=You
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
tasked ^vpsv++agls+xvbnx+=tasked
with ^in++++=with
eliminating ^xvbg+++xvbg+=eliminating
vendors ^nns++++=vendors
where ^wrb+who+++=where
necessary ^jj++++=necessary
and ^cc++++=and
are ^vb+ber+vrb++=are
generally ^rb+down+++=generally
averse ^jj+pred+++=averse
to ^to++++=to
bringing ^vbi++++=bringing
on ^in++++=on
new ^jj+atrb+++=new
solutions ^nns+nom+++=solutions
unless ^cs+cnd+++=unless
the ^ati++++=the
cost ^nn++++=cost
savings ^nns++++=savings
to ^in++++=to
the ^ati++++=the
new ^jj+atrb+++=new
solution ^nn+nom+++=solution
is ^vbz+bez+vrb++=is
quantifiable ^jj+pred+++=quantifiable
and ^cc+phrs+++=and
tangible ^jj++++=tangible
. ^zz++++=.
can ^md+pos+++=Can
you ^pp2+pp2+++=you
do ^vb+do+vrb++=do
this ^dt+pdem+++=this
, ^zz++++=,
yes ^uh++++=yes
or ^cc++++=or
no ^at++++=no
? ^zz++++=?
