Write ^vb++++=Write
an ^at++++=an
argument ^nn+nom+++=argument
for ^in++++=for
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
virtual ^jj+atrb+++=virtual
receptionists ^nns+nom+++=receptionists
services ^nns++++=services
from ^in++++=from
multiple ^jj+atrb+++=multiple
diverse ^jj+atrb+++=diverse
perspectives ^nns++++=perspectives
. ^zz++++=.
Before ^cs+sub+++=Before
you ^pp2+pp2+++=you
do ^vb+do+vrb++=do
so ^ql++++=so
, ^zz++++=,
state ^nn++++=state
the ^ati++++=the
characteristics ^nns++++=characteristics
of ^in++++=of
the ^ati++++=the
various ^jj+atrb+++=various
characters ^nns+nom+++=characters
. ^zz++++=.
