Create ^vb++++=Create
a ^at++++=a
friendly ^nn++++=friendly
cease ^vb++++=cease
and ^cc++++=and
desist ^nn++++=desist
email ^nn+++??+=email
to ^to++++=to
stop ^vbi++++=stop
a ^at++++=a
software ^nn+++??+=software
company ^nn++++=company
from ^in++++=from
naming ^xvbg+++xvbg+=naming
their ^pp$+pp3+++=their
software ^nn+++??+=software
Jetsign ^np+++??+=JetSign
because ^cs+cos+++=because
that ^dt+pdem+++=that
is ^vbz+bez+vrb++=is
an ^at++++=an
infringement ^nn+nom+++=infringement
of ^in++++=of
our ^pp$+pp1+++=our
existing ^jj+atrb++xvbg+=existing
trademark ^nn++++=trademark
jetsign ^np++++=JetSign
for ^in++++=for
our ^pp$+pp1+++=our
existing ^jj+atrb+++=existing
e ^zz++++=e-signature
- ^zz++++=EXTRAWORD
signature ^nn++++=EXTRAWORD
software ^nn++++=software
. ^zz++++=.
