Write ^vb++++=Write
me ^pp1o+pp1+++=me
a ^at++++=a
love ^nn++++=love
poem ^nn++++=poem
in ^in++++=in
uwu ^nn+++??+=uwu
furryspeak ^nn+++??+=furryspeak
for ^in++++=for
a ^at++++=a
girl ^nn++++=girl
named ^vbd+++xvbn+=named
Karina ^np+++??+=Karina
who ^whp+rel+subj++=who
does ^vbz+doz+vrb++=does
cybersecurity ^nn+nom+++=cybersecurity
, ^zz++++=,
neuroscience ^nn+nom+++=neuroscience
, ^zz++++=,
and ^cc+cls+++=and
is ^vbz+bez+vrb++=is
a ^at++++=a
radical ^nn++++=radical
libertarian ^jj++++=libertarian
who ^whp+who+++=who
likes ^vbz++++=likes
self ^nn++++=self-improvement
- ^zz++++=EXTRAWORD
improvement ^nn+nom+++=EXTRAWORD
and ^cc++++=and
Ayn ^np+++??+=Ayn
Rand ^np+++??+=Rand
. ^zz++++=.
Include ^vb++++=Include
how ^wrb+who+++=how
i ^pp1a+pp1+++=I
like ^in++++=like
her ^pp$+pp3+++=her
despite ^in++++=despite
her ^pp$+pp3+++=her
dark ^jj+atrb+++=dark
triad ^nn++++=triad
results ^nns++++=results
. ^zz++++=.
