Write ^vb++++=Write
a ^at++++=a
Python ^np+++??+=Python
program ^nn+++??+=program
that ^tht+rel+++=that
rename ^nn+++??+=rename
a ^at++++=a
list ^nn++++=list
of ^in++++=of
files ^nns++++=files
to ^in++++=to
random ^jj+atrb+++=random
name ^nn++++=name
, ^zz++++=,
and ^cc+cls+++=and
then ^rn+tm+++=then
copy ^nn++++=copy
them ^pp3o+pp3+++=them
back ^jjb++++=back
to ^in++++=to
a ^at++++=a
[ ^zz++++=[Code_Snippet]
code_snippet ^nn++++=EXTRAWORD
] ^zz++++=EXTRAWORD
folder ^nn++++=folder
with ^in++++=with
the ^ati++++=the
original ^jj+atrb+++=original
file ^nn++++=file
names ^nns++++=names
. ^zz++++=.
