How ^wrb+who+++=How
to ^to++++=to
add ^vbi+vpub+++=add
exam ^nn++++=exam
feature ^nn++++=feature
of ^in++++=of
2 ^zz++++=2/3
no ^at++++=no
questions ^nns+nom+++=questions
where ^wrb+who+++=where
students ^nns++++=students
can ^md+pos+++=can
give ^vb++++=give
the ^ati++++=the
exam ^nn++++=exam
and ^cc++++=and
teacher ^nn++++=teacher
can ^md+pos+++=can
set ^vb+++xvbn+=set
the ^ati++++=the
questions ^nns+nom+++=questions
and ^cc++++=and
admin ^nn+++??+=admin
can ^md+pos+++=can
access ^vb++++=access
everything ^pn++++=everything
in ^in++++=in
a ^at++++=a
existing ^vbg+++xvbg+=existing
online ^nn++++=online
exam ^nn++++=exam
project ^nn++++=project
in ^in++++=in
django ^np++++=Django
? ^zz++++=?
