Hi ^uh++++=Hi
there ^rn+pl+++=there
! ^zz++++=!
Can ^md+pos+++=Can
you ^pp2+pp2+++=you
write ^vb++++=write
a ^at++++=a
Python ^np+++??+=Python
script ^nn++++=script
that ^tht+rel+subj++=that
will ^md+prd+++=will
read ^vb+vprv++xvbn+=read
a ^at++++=a
Vtt ^np+++??+=VTT
caption ^nn+nom+++=caption
file ^nn++++=file
, ^zz++++=,
identify ^vb++++=identify
any ^dti++++=any
gaps ^nns++++=gaps
larger ^jjr++++=larger
than ^in++++=than
2 ^zz++++=2
. ^zz++++=.
5 ^zz++++=5
seconds ^nns++++=seconds
between ^in++++=between
caption ^nn+nom+++=caption
frames ^nns++++=frames
, ^zz++++=,
then ^rn+tm+++=then
using ^vbg+++xvbg+=using
the ^ati++++=the
end ^nn++++=end
and ^cc++++=and
start ^vb++++=start
times ^nns++++=times
create ^vb++++=create
another ^ppls++++=another
vtt ^np++++=VTT
caption ^nn+nom+++=caption
file ^nn++++=file
? ^zz++++=?
