Write ^vb++++=Write
me ^pp1o+pp1+++=me
8 ^zz++++=8
text ^nn++++=text
messages ^nns+nom+++=messages
in ^in++++=in
a ^at++++=a
hierarchy ^nn++++=hierarchy
order ^vb++++=order
to ^to+vcmp+++=to
follow ^vbi+vprv+++=follow
up ^rp++++=up
on ^in++++=on
a ^at++++=a
buyer ^nn++++=buyer
real ^jj+atrb+++=real
estate ^nn++++=estate
home ^nr++++=home
listing ^vwbg+++xvbg+=listing
inquiry ^nn++++=inquiry
. ^zz++++=.
The ^ati++++=The
main ^jjb+atrb+++=main
purpose ^nn++++=purpose
is ^vbz+bez+aux++=is
to ^to++++=to
get ^vbi++++=get
an ^at++++=an
answer ^nn++++=answer
or ^cc++++=or
interest ^nn++++=interest
from ^in++++=from
the ^ati++++=the
client ^nn++++=client
to ^to++++=to
set ^vpsv++agls+xvbn+=set
up ^rb+phrv+++=up
an ^at++++=an
appointment ^nn+nom+++=appointment
. ^zz++++=.
