Write ^vb++++=Write
an ^at++++=an
email ^nn+++??+=email
to ^in++++=to
a ^at++++=a
doctor ^nn++++=doctor
named ^vbd+++xvbn+=named
Dr ^npt++++=Dr
. ^zz++++=.
Shepherd ^np++++=Shepherd
seeking ^vwbg+++xvbg+=seeking
a ^at++++=a
part ^nn++++=part
time ^nn++++=time
job ^nn++++=job
as ^in++++=as
a ^at++++=a
medical ^jj+atrb+++=medical
scribe ^nn++++=scribe
. ^zz++++=.
Be ^vb+be+vrb++=Be
polite ^jj+pred+++=polite
and ^cc++++=and
show ^nn++++=show
him ^pp3o+pp3+++=him
how ^wrb+who+++=how
much ^rb++++=much
i ^pp1a+pp1+++=I
would ^md+prd+++=would
like ^vb++++=like
to ^to+vcmp+++=to
do ^vb+do+vrb++=do
this ^dt+dem+++=this
job ^nn++++=job
. ^zz++++=.
