Write ^vb++++=Write
an ^at++++=an
emoji ^nn+++??+=emoji-filled
- ^zz++++=EXTRAWORD
filled ^vbd+++xvbn+=EXTRAWORD
response ^nn++++=response
to ^in++++=to
this ^dt+pdem+++=this
: ^zz++++=:
: ^zz++++=:
email ^nn+++??+=email
: ^zz++++=:
: ^zz++++=:
hugging_face ^nn+++??+=hugging_face
: ^zz++++=:
It ^pp3+it+++=It
' ^zz++++='
s ^zz++++=s
just ^rb+emph+++=just
. ^zz++++=.
: ^zz++++=:
stars ^nns++++=stars
: ^zz++++=:
: ^zz++++=:
smile_cat ^nn+++??+=smile_cat
: ^zz++++=:
Such ^abl++++=Such
a ^at++++=a
good ^nn++++=good
. ^zz++++=.
: ^zz++++=:
eight_spoked_asterisk ^nn+++??+=eight_spoked_asterisk
: ^zz++++=:
: ^zz++++=:
e ^zz++++=e-mail
- ^zz++++=EXTRAWORD
mail ^nn++++=EXTRAWORD
: ^zz++++=:
: ^zz++++=:
sparkles ^nns+++??+=sparkles
: ^zz++++=:
Test ^nn++++=Test
email ^nn+++??+=email
. ^zz++++=.
: ^zz++++=:
100 ^cd++++=100
: ^zz++++=:
: ^zz++++=:
heart_hands ^nns+++??+=heart_hands
: ^zz++++=:
: ^zz++++=:
confetti_ball ^nn+++??+=confetti_ball
: ^zz++++=:
I ^pp1a+pp1+++=I
dig ^vb++++=dig
it ^pp3+it+++=it
for ^in++++=for
sure ^nn++++=sure
. ^zz++++=.
: ^zz++++=:
spaghetti ^nn++++=spaghetti
: ^zz++++=:
: ^zz++++=:
pinch ^nn++++=pinch
: ^zz++++=:
. ^zz++++=.
