Develop ^vb++++=Develop
an ^at++++=an
project ^nn++++=project-based
- ^zz++++=EXTRAWORD
based ^xvbn+++xvbn+=EXTRAWORD
learning ^vbg+vprv++xvbg+=learning
activity ^nn+nom+++=activity
that ^tht+rel+subj++=that
will ^md+prd+++=will
develop ^vb++++=develop
student ^nn++++=student
' ^zz++++='
s ^zz++++=s
ability ^nn+nom+++=ability
to ^to+ncmp+++=to
" ^zz++++="
analyze ^nn+++??+=analyze
the ^ati++++=the
role ^nn++++=role
of ^in++++=of
culture ^nn++++=culture
and ^cc++++=and
diversity ^nn+nom+++=diversity
in ^in++++=in
shaping ^nn++++=shaping
ethical ^jj+atrb+++=ethical
behavior ^nn++++=behavior
in ^in++++=in
the ^ati++++=the
workplace ^nn++++=workplace
. ^zz++++=.
" ^zz++++="
