Write ^vb++++=Write
a ^at++++=a
Unity ^nn++++=Unity
script ^nn++++=script
called ^vbd+++xvbn+=called
' ^zz++++='
Proximitytrigger ^np+nom++??+=ProximityTrigger
. ^zz++++=.
cs ^nps++++=cs
' ^zz++++='
that ^tht+rel+obj++=that
triggers ^nns+nom+++=triggers
when ^wrb+who+++=when
the ^ati++++=the
main ^jjb+atrb+++=main
camera ^nn++++=camera
comes ^vbz++++=comes
close ^in+cmpx+++=close
to ^in"++++=to
it ^pp3+it+++=it
, ^zz++++=,
and ^cc+cls+++=and
exposes ^vbz++++=exposes
that ^dt+dem+++=that
as ^ql++++=as
a ^at++++=a
unityevent ^np++++=UnityEvent
to ^to++++=to
the ^ati++++=the
editor ^nn++++=editor
. ^zz++++=.
