Write ^vb++++=Write
a ^at++++=a
quick ^jj+atrb+++=quick
email ^nn+++??+=email
to ^to++++=to
connect ^vbi++++=connect
based ^xvbn+++xvbn+=based
on ^in++++=on
time ^nn++++=time
zone ^nn++++=zone
difference ^nn+nom+++=difference
Adelaide ^np+++??+=Adelaide
Australia ^np++++=Australia
and ^cc++++=and
Atlanta ^np+++??+=Atlanta
Ga ^np+++??+=GA
between ^in++++=between
the ^ati++++=the
hours ^nns++++=hours
of ^in++++=of
4 ^zz++++=4
pm ^nn+++??+=pm
and ^cc++++=and
9 ^zz++++=9
pm ^nn++++=pm
eastern ^jj++++=Eastern
. ^zz++++=.
save ^vb++++=Save
and ^cc++++=and
submitcancel ^np++++=SubmitCancel
. ^zz++++=.
