Write ^vb++++=Write
an ^at++++=an
interesting ^jj+atrb+++=interesting
creative ^jj+atrb+++=creative
short ^jj+atrb+++=short
story ^nn++++=story
for ^in++++=for
Efl ^np+++??+=EFL
students ^nns++++=students
Cefr ^np+++??+=CEFR
A1 ^np+++??+=A1
with ^in++++=with
a ^at++++=a
moral ^jj+atrb+++=moral
lesson ^nn++++=lesson
. ^zz++++=.
Hint ^nn++++=Hint
to ^in++++=to
the ^ati++++=the
moral ^jj+atrb+++=moral
lesson ^nn++++=lesson
and ^cc++++=and
then ^rn+tm+++=then
ask ^vb++++=ask
5 ^zz++++=5
multiple ^jj+atrb+++=multiple
choice ^nn++++=choice
questions ^nns+nom+++=questions
. ^zz++++=.
