Write ^vb++++=Write
250 ^cd++++=250
words ^nns++++=words
in ^in++++=in
the ^ati++++=the
style ^nn++++=style
of ^in++++=of
business ^nns+nom+++=business
brief ^jj++++=brief
on ^in++++=on
how ^wrb+who+++=how
long ^rb++++=long
the ^ati++++=the
Three ^cd++++=Three
Minute ^nn++++=Minute
Thesis ^nn++++=Thesis
Competition ^nn+nom+++=Competition
grew ^vbd+++xvbn+=grew
from ^in++++=from
a ^at++++=a
single ^jj+atrb+++=single
event ^nn++++=event
at ^rb++++=at
University ^npl+nom+++=University
Queensland ^np++++=Queensland
Into ^in++++=into
A ^at++++=a
Global ^jj+atrb+++=global
Program ^nn++++=program
In ^in++++=in
00 ^cd++++=900
Universities ^nns+nom+++=universities
Worldwide ^nn++++=worldwide
 ^zz++++=.
