You ^pp2+pp2+++=You
are ^vb+ber+vrb++=are
a ^at++++=a
clinical ^jj+atrb+++=clinical
researcher ^nn+nom+++=researcher
. ^zz++++=.
I ^pp1a+pp1+++=I
want ^vb++++=want
to ^to+vcmp+++=to
design ^vbi++++=design
a ^at++++=a
clinical ^jj+atrb+++=clinical
Phase ^nn++++=Phase
Iii ^np+++??+=III
study ^nn++++=study
in ^in++++=in
a ^at++++=a
cardiac ^jj+atrb+++=cardiac
surgery ^nn+nom+++=surgery
with ^in++++=with
fibrinogen ^vb+++xvbn+=fibrinogen
as ^ql++++=as
active ^jj+atrb+++=active
treatment ^nn+nom+++=treatment
against ^in++++=against
a ^at++++=a
control ^nn++++=control
group ^nn++++=group
with ^in++++=with
cryo ^nn+++??+=cryo
. ^zz++++=.
The ^ati++++=The
primary ^jj++++=primary
endpoint ^jj+++xvbn+=endpoint
is ^vbz+bez+vrb++=is
the ^ati++++=the
difference ^nn+nom+++=difference
in ^in++++=in
Apb ^np+++??+=APB
. ^zz++++=.
For ^in++++=For
a ^at++++=a
non ^&fw++++=non-inferiority
- ^zz++++=EXTRAWORD
inferiority ^nn+nom+++=EXTRAWORD
study ^nn++++=study
, ^zz++++=,
assuming ^vbg+vprv++xvbg+=assuming
a ^at++++=a
non ^&fw++++=non-inferiority
- ^zz++++=EXTRAWORD
inferiority ^nn+nom+++=EXTRAWORD
ratio ^nn++++=ratio
of ^in++++=of
1 ^zz++++=1
. ^zz++++=.
2 ^zz++++=2
and ^cc++++=and
an ^at++++=an
expected ^jj+atrb++xvbn+=expected
ratio ^nn++++=ratio
of ^in++++=of
0 ^zz++++=0
. ^zz++++=.
93 ^cd++++=93
in ^in++++=in
favor ^nn++++=favor
for ^in++++=for
fibrinogen ^vb+++xvbn+=fibrinogen
, ^zz++++=,
what ^wdt+who+whq++=what
would ^md+prd+++=would
be ^vb+be+vrb++=be
potential ^jj+atrb+++=potential
statistical ^jj+atrb+++=statistical
tests ^nns++++=tests
for ^in++++=for
the ^ati++++=the
primary ^jj++++=primary
endpoint ^jj++++=endpoint
and ^cc++++=and
for ^in++++=for
the ^ati++++=the
sample ^nn++++=sample
size ^nn++++=size
calculation ^nn+nom+++=calculation
? ^zz++++=?
