Write ^vb++++=Write
a ^at++++=a
Python ^np+++??+=Python
script ^nn++++=script
that ^tht+rel+subj++=that
will ^md+prd+++=will
send ^vb++++=send
an ^at++++=an
email ^nn+++??+=email
with ^in++++=with
a ^at++++=a
log ^&fo++++=log
file ^nn++++=file
as ^in++++=as
an ^at++++=an
attachment ^nn+nom+++=attachment
and ^cc++++=and
the ^ati++++=the
command ^nn++++=command
to ^to++++=to
run ^vbi++++=run
it ^pp3+it+++=it
as ^in++++=as
a ^at++++=a
cron ^nn++++=cron
job ^nn++++=job
once ^rb+tm+++=once
a ^at++++=a
month ^nn++++=month
. ^zz++++=.
