Create ^vb++++=Create
a ^at++++=a
list ^nn++++=list
of ^in++++=of
20 ^cd++++=20
random ^rb++++=random
encounters ^nns+nom+++=encounters
for ^in++++=for
5 ^zz++++=5
3 ^zz++++=3
rd ^npl++++=rd
level ^nn++++=level
Dungeons ^np+++??+=Dungeons
and ^cc++++=and
Dragons ^np+++??+=Dragons
characters ^nns+nom+++=characters
using ^vwbg+++xvbg+=using
5 ^zz++++=5
th ^zz++++=th
edition ^nn+nom+++=Edition
rules ^nns++++=rules
set ^nn++++=set
in ^in++++=in
the ^ati++++=the
realm ^nn++++=realm
of ^in++++=of
ravenloft ^np++++=Ravenloft
. ^zz++++=.
