Write ^vb++++=Write
a ^at++++=a
one ^cd1++++=one-page
- ^zz++++=EXTRAWORD
page ^nn++++=EXTRAWORD
short ^jj+atrb+++=short
story ^nn++++=story
set ^vbd+++xvbn+=set
100 ^cd++++=100
years ^nns++++=years
from ^in++++=from
now ^rn+tm+++=now
on ^in++++=on
Base ^nn++++=Base
9 ^zz++++=9
, ^zz++++=,
the ^ati++++=the
Centre ^nn++++=Centre
for ^in++++=for
Cosmic ^jj+atrb+++=Cosmic
Intelligence ^nn+nom+++=Intelligence
based ^vwbn+++xvbn+=based
on ^in++++=on
Mars ^np+++??+=Mars
. ^zz++++=.
Make ^vb++++=Make
a ^at++++=a
feature ^nn++++=feature
of ^in++++=of
a ^at++++=a
range ^nn++++=range
of ^in++++=of
personal ^jj+atrb+++=personal
productivity ^nn+nom+++=productivity
tools ^nns++++=tools
enabled ^vwbn+++xvbn+=enabled
by ^in++++=by
artificial ^jj+atrb+++=artificial
intelligence ^nn+nom+++=intelligence
in ^in++++=in
the ^ati++++=the
decade ^nn++++=decade
2020 ^cd++++=2020-2030
- ^zz++++=EXTRAWORD
2030 ^cd++++=EXTRAWORD
. ^zz++++=.
