Write ^vb++++=Write
an ^at++++=an
outline ^nn++++=outline
for ^in++++=for
a ^at++++=a
two ^cd++++=two
topic ^nn++++=topic
essay ^nn++++=essay
. ^zz++++=.
Topic ^nn++++=Topic
1 ^zz++++=1
is ^vbz+bez+vrb++=is
my ^pp$+pp1+++=my
experiences ^nns+nom+++=experiences
with ^in++++=with
and ^cc++++=and
observations ^nns+nom+++=observations
of ^in++++=of
being ^xvbg+++xvbg+=being
a ^at++++=a
high ^jj+atrb+++=high
school ^nn++++=school
student ^nn++++=student
leader ^nn++++=leader
. ^zz++++=.
Topic ^nn++++=Topic
2 ^zz++++=2
is ^vbz+bez+vrb++=is
my ^pp$+pp1+++=my
experiences ^nns+nom+++=experiences
with ^in++++=with
and ^cc++++=and
observations ^nns+nom+++=observations
of ^in++++=of
being ^nn++++=being
a ^at++++=a
pet ^nn++++=pet
owner ^nn++++=owner
. ^zz++++=.
