I ^pp1a+pp1+++=I
would ^md+prd+++=would
like ^vb++++=like
to ^to+vcmp+++=to
check ^vbi+vprv+++=check
if ^cs+cnd+++=if
string ^nn++++=string
is ^vbz+bez+aux++=is
having ^vbg+++xvbg+=having
preceding ^vbg+++xvbg+=preceding
slash ^nn++++=slash
, ^zz++++=,
if ^cs+cnd+++=if
yes ^uh++++=yes
, ^zz++++=,
pass ^vb++++=pass
if ^cs+cnd+++=if
not ^xnot++not++=not
, ^zz++++=,
then ^rn+tm+++=then
check ^vb+vprv+++=check
if ^cs+cnd+++=if
has ^vbz+hvz+vrb++=has
slash ^nn++++=slash
, ^zz++++=,
if ^cs+cnd+++=if
yes ^uh++++=yes
, ^zz++++=,
then ^rn+tm+++=then
fail ^vb++++=fail
, ^zz++++=,
if ^cs+cnd+++=if
not ^xnot++not++=not
, ^zz++++=,
then ^rn+tm+++=then
pass ^vb++++=pass
. ^zz++++=.
Result ^nn++++=Result
should ^md+nec+++=should
be ^vb+be+vrb++=be
like ^in++++=like
this ^dt+dem+++=this
[ ^zz++++=[Code_Snippet]
code_snippet ^nn++++=EXTRAWORD
] ^zz++++=EXTRAWORD
. ^zz++++=.
please ^uh++++=Please
use ^nn++++=use
php ^np++++=PHP
to ^in++++=to
code ^nn++++=code
. ^zz++++=.
