Write ^vb++++=Write
me ^pp1o+pp1+++=me
an ^at++++=an
original ^jj+atrb+++=original
script ^nn++++=script
for ^in++++=for
a ^at++++=a
sequel ^nn++++=sequel
to ^in++++=to
the ^ati++++=the
movie ^nn++++=movie
Meg ^np++++=Meg
, ^zz++++=,
set ^j+++xvbn+=set
in ^in++++=in
space ^nn++++=space
, ^zz++++=,
starring ^vbg+++xvbg+=starring
Keanu ^np+++??+=KEANU
Reeves ^np++++=REEVES
, ^zz++++=,
Jessica ^np+++??+=JESSICA
Alba ^np+++??+=ALBA
, ^zz++++=,
3 ^zz++++=3
Adam ^np++++=ADAM
Sandlers ^nns+nom++??+=SANDLERS
, ^zz++++=,
Jason ^np+++??+=JASON
Statham ^np+++??+=STATHAM
, ^zz++++=,
Margot ^np++++=MARGOT
Robbie ^np++++=ROBBIE
, ^zz++++=,
Gal ^np+++??+=GAL
Gadot ^np+++??+=GADOT
, ^zz++++=,
Arnold ^np++++=ARNOLD
Schwarzenegger ^np+nom++??+=SCHWARZENEGGER
, ^zz++++=,
Neil ^np++++=NEIL
Degrasse ^np+++??+=DEGRASSE
Tyson ^np+++??+=TYSON
, ^zz++++=,
The ^ati++++=THE
Rock ^npl++++=ROCK
, ^zz++++=,
Kevin ^np+++??+=KEVIN
Hart ^np++++=HART
, ^zz++++=,
Stan ^np++++=STAN
Lee ^nn++++=LEE
' ^zz++++='
s ^zz++++=s
Ghost ^nn++++=Ghost
, ^zz++++=,
Freddy ^np+++??+=FREDDY
Benson ^np++++=BENSON
, ^zz++++=,
Morgan ^np++++=MORGAN
Freeman ^np++++=FREEMAN
, ^zz++++=,
Jackie ^np++++=JACKIE
Chan ^np+++??+=CHAN
, ^zz++++=,
Michael ^np++++=MICHAEL
Cera ^np+++??+=CERA
, ^zz++++=,
Sylvester ^np+nom++??+=SYLVESTER
Stallone ^np+++??+=STALLONE
, ^zz++++=,
Ben ^np++++=BEN
Stiller ^np+++??+=STILLER
, ^zz++++=,
Robert ^np++++=ROBERT
Downey ^np+++??+=DOWNEY
Jr ^np+++??+=JR
, ^zz++++=,
Jack ^np++++=JACK
Black ^jj++++=BLACK
, ^zz++++=,
Sans ^&fw++++=SANS
From ^in++++=FROM
Undertale ^np+++??+=UNDERTALE
, ^zz++++=,
Colin ^np++++=COLIN
Kaepernick ^np+++??+=KAEPERNICK
, ^zz++++=,
Beetlejuice ^np+++??+=BEETLEJUICE
, ^zz++++=,
Michael ^np++++=MICHAEL
Keaton ^np++++=KEATON
 ^zz++++=,
Vin ^&fw++++=VIN
Diesel ^nn++++=DIESEL
 ^zz++++=,
And ^cc+cls+++=and
Cardi ^np++++=CARDI
B ^zz++++=B
 ^zz++++=.
