Create ^vb++++=Create
a ^at++++=a
list ^nn++++=list
of ^in++++=of
3 ^zz++++=3
startup ^nn+++??+=startup
ideas ^nns++++=ideas
in ^in++++=in
enterprise ^nn++++=enterprise
B2 ^np+++??+=B2
B ^zz++++=B
Saas ^np+++??+=SaaS
. ^zz++++=.
The ^ati++++=The
startup ^nn+++??+=startup
ideas ^nns++++=ideas
should ^md+nec+++=should
have ^vb+hv+vrb++=have
a ^at++++=a
strong ^jj+atrb+++=strong
and ^cc+phrs+++=and
compelling ^jj+atrb++xvbg+=compelling
mission ^nn++++=mission
and ^cc++++=and
also ^rb++++=also
use ^nn++++=use
Al ^&fw++++=Al
in ^in++++=in
some ^dti++++=some
way ^nn++++=way
. ^zz++++=.
Avoid ^vb++++=Avoid
cryptocurrency ^nn+++??+=cryptocurrency
or ^cc++++=or
blockchain ^nn+++??+=blockchain
. ^zz++++=.
The ^ati++++=The
startup ^nn+++??+=startup
ideas ^nns++++=ideas
should ^md+nec+++=should
have ^vb+hv+vrb++=have
a ^at++++=a
cool ^jj+atrb+++=cool
and ^cc+phrs+++=and
interesting ^jj+atrb+++=interesting
name ^nn++++=name
. ^zz++++=.
The ^ati++++=The
ideas ^nns++++=ideas
should ^md+nec+++=should
be ^vb+be+aux++=be
compelling ^nvbg+++xvbg+=compelling
enough ^qlp++++=enough
so ^ql++++=so
that ^dt+pdem+++=that
investors ^vbz++++=investors
will ^md+prd+++=will
be ^vb+be+aux++=be
excited ^vpsv++agls+xvbnx+=excited
to ^to++++=to
invest ^vbi++++=invest
millions ^cds++++=millions
of ^in++++=of
dollars ^nns++++=dollars
without ^in++++=without
doing ^vbg+++xvbg+=doing
any ^dti++++=any
due ^jj+atrb+++=due
diligence ^nn+nom+++=diligence
. ^zz++++=.
