Write ^vb++++=Write
a ^at++++=a
formal ^jj+atrb+++=formal
mail ^nn++++=mail
to ^in++++=to
professor ^npt++++=professor
mentioning ^vwbg+vpub++xvbg+=mentioning
to ^in++++=to
schedule ^nn++++=schedule
meeting ^vwbg+++xvbg+=meeting
between ^in++++=between
January ^nr+nom+++=January
30 ^cd++++=30-February
- ^zz++++=EXTRAWORD
february ^nr+nom+++=EXTRAWORD
1 ^zz++++=1
as ^ql++++=as
I ^pp1a+pp1+++=I
am ^vb+bem+aux++=am
currently ^rb++splt++=currently
located ^vpsv++agls+xvbnx+=located
in ^in++++=in
India ^np++++=India
and ^cc++++=and
I ^pp1a+pp1+++=I
am ^vb+bem+aux++=am
travelling ^nvbg+++xvbg+=travelling
to ^in++++=to
united ^np++++=United
states ^nns++++=States
on ^in++++=on
february ^nr+nom+++=February
2 ^zz++++=2-February
- ^zz++++=EXTRAWORD
february ^nr+nom+++=EXTRAWORD
4 ^zz++++=4
. ^zz++++=.
