Write ^vb++++=Write
an ^at++++=an
email ^nn+++??+=email
to ^in++++=to
a ^at++++=a
person ^nn++++=person
with ^in++++=with
some ^dti++++=some
facts ^nns++++=facts
about ^in++++=about
a ^at++++=a
subject ^nn++++=subject
with ^in++++=with
a ^at++++=a
specific ^jj+atrb+++=specific
theme ^nn++++=theme
. ^zz++++=.
Person ^nn++++=Person
: ^zz++++=:
Dave ^np++++=Dave
Mitchell ^np++++=Mitchell
. ^zz++++=.
Topic ^nn++++=Topic
: ^zz++++=:
Book ^nn++++=Book
meeting ^vwbg+++xvbg+=meeting
to ^in++++=to
review ^nn++++=review
work ^nn++++=work
performance ^nn+nom+++=performance
. ^zz++++=.
theme ^nn++++=Theme
: ^zz++++=:
excited ^vpsv++agls+xvbn+=Excited
and ^cc++++=and
happy ^jj++++=happy
about ^in++++=about
great ^jj+atrb+++=great
performance ^nn+nom+++=performance
. ^zz++++=.
