For ^in++++=For
education ^nn+nom+++=education
purposes ^nns++++=purposes
only ^rb+down+++=only
. ^zz++++=.
Audience ^nn+nom+++=Audience
: ^zz++++=:
expert ^nn++++=expert
physicians ^nns++++=physicians
. ^zz++++=.
Please ^uh++++=Please
discuss ^vb++++=discuss
important ^jj+atrb+++=important
issues ^nns++++=issues
to ^to++++=to
consider ^nn+nom+++=consider
when ^wrb+who+++=when
treating ^vbg+++xvbg+=treating
a ^at++++=a
patient ^nn++++=patient
with ^in++++=with
lithium ^nn++++=lithium
who ^whp+rel+subj++=who
has ^vbz+hvz+vrb++=has
a ^at++++=a
history ^nn++++=history
of ^in++++=of
urinary ^nn+nom+++=urinary
incontinence ^nn+nom+++=incontinence
. ^zz++++=.
