Write ^vb++++=Write
a ^at++++=a
short ^jj+atrb+++=short
essay ^nn++++=essay
on ^in++++=on
Puerto ^np+++??+=Puerto
Rican ^np+++??+=Rican
baseball ^nn++++=baseball
player ^nn++++=player
Francisco ^np++++=Francisco
Lindor ^np+++??+=Lindor
' ^zz++++='
s ^zz++++=s
early ^jj+atrb+++=early
Baseball ^np+++??+=Baseball
career ^nn++++=career
, ^zz++++=,
and ^cc+cls+++=and
list ^nn++++=list
your ^pp$+pp2+++=your
sources ^nns++++=sources
, ^zz++++=,
try ^vb++++=try
to ^to+vcmp+++=to
use ^vbi++++=use
three ^cd++++=three
or ^cc++++=or
less ^ql++++=less
sources ^nns++++=sources
in ^in++++=in
writing ^nn++++=writing
. ^zz++++=.
