Using ^vbg+++xvbg+=Using
the ^ati++++=the
Esv ^np+++??+=ESV
Api ^np+++??+=API
, ^zz++++=,
I ^pp1a+pp1+++=I
want ^vb++++=want
to ^to+vcmp+++=to
see ^vbi+vprv+++=see
the ^ati++++=the
Bible ^nn++++=Bible
book ^nn++++=book
, ^zz++++=,
chapter ^nn++++=chapter
, ^zz++++=,
verse ^nn++++=verse
and ^cc++++=and
text ^nn++++=text
for ^in++++=for
every ^at++++=every
instance ^nn+nom+++=instance
of ^in++++=of
the ^ati++++=the
book ^nn++++=book
translated ^vbd+++xvbn+=translated
into ^in++++=into
English ^jj++++=English
As ^ql++++=as
 ^zz++++="
Household ^nn++++=household
 ^zz++++="
In ^in++++=in
The ^ati++++=the
New ^jj+atrb+++=New
Testament ^nn+nom+++=Testament
 ^zz++++=.
