What ^wdt+who+++=What
could ^md+pos+++=could
Ceu ^vb+++??+=CEU
means ^nns++++=means
as ^ql++++=as
initials ^nns+nom+++=initials
for ^in++++=for
an ^at++++=an
Developer ^nn+nom+++=Developer
team ^nn++++=team
working ^vwbg+++xvbg+=working
on ^in++++=on
an ^at++++=an
system ^nn++++=system
called ^vbd+++xvbn+=called
Core ^nn++++=CORE
and ^cc++++=and
they ^pp3a+pp3+++=they
need ^vb++++=need
to ^to+vcmp+++=to
maintenance ^nn+nom+++=maintenance
, ^zz++++=,
take ^vb++++=take
care ^nn++++=care
and ^cc++++=and
protect ^vb++++=protect
it ^pp3+it+++=it
? ^zz++++=?
