Write ^vb++++=Write
an ^at++++=an
outline ^nn++++=outline
for ^in++++=for
a ^at++++=a
two ^cd++++=two
topic ^nn++++=topic
essay ^nn++++=essay
. ^zz++++=.
Topic ^nn++++=Topic
1 ^zz++++=1
is ^vbz+bez+vrb++=is
my ^pp$+pp1+++=my
experiences ^nns+nom+++=experiences
with ^in++++=with
and ^cc++++=and
observations ^nns+nom+++=observations
of ^in++++=of
using ^xvbg+++xvbg+=using
technolgy ^nn+++??+=technolgy
for ^in++++=for
school ^nn++++=school
. ^zz++++=.
Topic ^nn++++=Topic
2 ^zz++++=2
is ^vbz+bez+vrb++=is
my ^pp$+pp1+++=my
experiences ^nns+nom+++=experiences
with ^in++++=with
and ^cc++++=and
observations ^nns+nom+++=observations
of ^in++++=of
using ^xvbg+++xvbg+=using
technolgy ^nn+++??+=technolgy
for ^in++++=for
fun ^nn++++=fun
and ^cc++++=and
entertainment ^nn+nom+++=entertainment
. ^zz++++=.
Suggest ^vb+vpub+++=Suggest
a ^at++++=a
thesis ^nn++++=thesis
statement ^nn+nom+++=statement
. ^zz++++=.
Suggest ^vb+vpub+++=Suggest
a ^at++++=a
quote ^vb++++=quote
, ^zz++++=,
with ^in++++=with
attribution ^nn+nom+++=attribution
, ^zz++++=,
to ^to++++=to
use ^vbi++++=use
as ^in++++=as
an ^at++++=an
opening ^jj+atrb++xvbg+=opening
hook ^nn++++=hook
. ^zz++++=.
Suggest ^vb+vpub+++=Suggest
five ^cd++++=five
sources ^nns++++=sources
that ^tht+rel+obj++=that
I ^pp1a+pp1+++=I
Might ^md+pos+++=might
Obtain ^vb++++=obtain
Some ^dti++++=some
Supporting ^jj+atrb+++=supporting
Evidence ^nn+nom+++=evidence
And ^cc++++=and
Quotes ^vbz++++=quotes
From ^in+strn+++=from
 ^zz++++=.
