Write ^vb++++=Write
me ^pp1o+pp1+++=me
a ^at++++=a
light ^jj+atrb+++=light
exercise ^nn++++=exercise
program ^nn+++??+=program
. ^zz++++=.
I ^pp1a+pp1+++=I
want ^vb++++=want
to ^to+vcmp+++=to
exercise ^vbi++++=exercise
5 ^zz++++=5
days ^nns++++=days
a ^at++++=a
week ^nn++++=week
. ^zz++++=.
I ^pp1a+pp1+++=I
have ^vb+hv+vrb++=have
two ^cd++++=two
shoulder ^nn+nom+++=shoulder
replacements ^nns+nom+++=replacements
and ^cc++++=and
cannot ^md+pos+not++=cannot
move ^vb++++=move
them ^pp3o+pp3+++=them
very ^ql+amp+++=very
well ^rb++++=well
. ^zz++++=.
