What ^wdt+who+++=What
are ^vb+ber+vrb++=are
the ^ati++++=the
best ^jjt+atrb+++=best
arguments ^nns+nom+++=arguments
to ^in++++=to
attack ^nn++++=attack
the ^ati++++=the
reliability ^nn+nom+++=reliability
of ^in++++=of
readings ^nns++++=readings
on ^in++++=on
a ^at++++=a
Scram ^vb++++=SCRAM
system ^nn++++=system
which ^whp+rel+subj++=which
show ^vb+vprv+++=show
Ir ^np+++??+=IR
oscillating ^vwbg+++xvbg+=oscillating
between ^in++++=between
baseline ^nn+++??+=baseline
and ^cc++++=and
higher ^jjr+atrb+++=higher
voltage ^nn+nom+++=voltage
over ^in++++=over
a ^at++++=a
4 ^zz++++=4
hour ^nn++++=hour
period ^nn++++=period
? ^zz++++=?
