Is ^vbz+bez+vrb++=Is
this ^dt+dem+++=this
a ^at++++=a
hawkish ^jj+atrb+++=hawkish
or ^cc+phrs+++=or
dovish ^jj+atrb+++=dovish
signal ^nn++++=signal
about ^in++++=about
monetary ^jj+atrb+++=monetary
policy ^nn++++=policy
: ^zz++++=:
" ^zz++++="
Chair ^nn++++=Chair
Jay ^np+++??+=Jay
Powell ^np++++=Powell
of ^in++++=of
the ^ati++++=the
Federal ^jj+atrb+++=Federal
Reserve ^nn++++=Reserve
today ^nr+tm+++=today
announced ^vbd+vpub++xvbn+=announced
that ^tht+vcmp+++=that
the ^ati++++=the
Fed ^nn++++=Fed
will ^md+prd+++=will
raise ^vb++++=raise
interest ^nn++++=interest
rates ^nns++++=rates
by ^in++++=by
75 ^cd++++=75
basis ^nn++++=basis
points ^nns++++=points
. ^zz++++=.
" ^zz++++="
? ^zz++++=?
