Give ^vb++++=Give
me ^pp1o+pp1+++=me
simple ^jj+atrb+++=simple
example ^nn++++=example
on ^in++++=on
how ^wrb+who+++=how
to ^to++++=to
use ^vbi++++=use
Node ^np+++??+=Node
. ^zz++++=.
js ^nns+++??+=js
to ^to++++=to
render ^vbi++++=render
Html ^np+++??+=HTML
page ^nn++++=page
using ^vwbg+++xvbg+=using
Express ^jjb++++=Express
, ^zz++++=,
and ^cc+cls+++=and
Mongodb ^np+++??+=MongoDB
and ^cc++++=and
also ^rb++++=also
save ^vb++++=save
form ^nn++++=form
resoponse ^nn++++=resoponse
to ^in++++=to
mongodb ^np++++=MongoDB
using ^jj+atrb+++=using
mongoose ^np++++=Mongoose
. ^zz++++=.
