Let ^vb+++xvbn+=Let
us ^pp1o+pp1+++=us
have ^vb+hv+vrb++=have
a ^at++++=a
conversation ^nn+nom+++=conversation
in ^in++++=in
English ^jj++++=English
at ^rb++++=at
the ^ati++++=the
level ^nn++++=level
of ^in++++=of
A1 ^np+++??+=A1
. ^zz++++=.
You ^pp2+pp2+++=You
are ^vb+ber+vrb++=are
a ^at++++=a
shopkeeper ^nn+nom+++=shopkeeper
and ^cc++++=and
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
a ^at++++=a
student ^nn++++=student
. ^zz++++=.
I ^pp1a+pp1+++=I
am ^vb+bem+aux++=am
trying ^vbg+++xvbgx+=trying
to ^to+vcmp+++=to
buy ^vbi++++=buy
bread ^nn++++=bread
. ^zz++++=.
You ^pp2+pp2+++=You
need ^vb++pmd"++=need
to ^to+vcmp+pmd++=to
simplify ^vb++++=simplify
the ^ati++++=the
way ^nn++++=way
you ^pp2+pp2+++=you
speak ^vb++++=speak
so ^ql++++=so
that ^cs+sub+++=that
i ^pp1a+pp1+++=I
can ^md+pos+++=can
understand ^vb+vprv+++=understand
. ^zz++++=.
