Write ^vb++++=Write
a ^at++++=a
dialogue ^nn++++=dialogue
story ^nn++++=story
about ^in++++=about
a ^at++++=a
young ^jj+atrb+++=young
elastic ^jj+atrb+++=elastic
woman ^nn++++=woman
who ^whp+rel+subj++=who
is ^vbz+bez+aux++=is
hired ^vpsv++by+xvbnx+=hired
by ^in++++=by
a ^at++++=a
rich ^jj+atrb+++=rich
single ^jj+atrb+++=single
mother ^nn++++=mother
to ^to++++=to
watch ^vbi++++=watch
her ^pp$+pp3+++=her
two ^cd++++=two
spoiled ^jj+atrb++xvbn+=spoiled
and ^cc+phrs+++=and
mischievous ^jj+atrb+++=mischievous
kids ^nns++++=kids
. ^zz++++=.
The ^ati++++=The
elastic ^jj+atrb+++=elastic
woman ^nn++++=woman
has ^vbz+hvz+vrb++=has
one ^cd1++++=one
weakness ^nns+nom+++=weakness
: ^zz++++=:
her ^pp3o+pp3+++=her
body ^nn++++=body
gets ^vbz++++=gets
extremely ^rb+amp+++=extremely
soft ^jj++++=soft
, ^zz++++=,
loose ^jj++++=loose
and ^cc+phrs+++=and
limp ^jj++++=limp
at ^rb++++=at
the ^ati++++=the
contact ^nn++++=contact
of ^in++++=of
water ^nn++++=water
, ^zz++++=,
and ^cc+cls+++=and
the ^ati++++=the
kids ^nns++++=kids
( ^zz++++=(
who ^whp+who+++=who
have ^vb+hv+vrb++=have
a ^at++++=a
pool ^nn++++=pool
at ^in++++=at
home ^nr++++=home
) ^zz++++=)
know ^vb+vprv+tht0++=know
that ^tht+vcmp+++=that
. ^zz++++=.
