Write ^vb++++=Write
a ^at++++=a
long ^rb++++=long
novel ^nn++++=novel
outline ^nn++++=outline
create ^vb++++=create
a ^at++++=a
one ^cd1++++=one
hero ^nn++++=hero
and ^cc++++=and
girl ^nn++++=girl
for ^in++++=for
love ^nn++++=love
and ^cc++++=and
adventure ^nn++++=adventure
with ^in++++=with
suspense ^nn++++=suspense
include ^vb++++=include
fighting ^jj++++=fighting
sceens ^vbz++++=sceens
please ^uh++++=Please
write ^vb++++=write
in ^in++++=in
english ^jj+atrb+++=English
language ^nn+nom+++=language
. ^zz++++=.
