Write ^vb++++=Write
me ^pp1o+pp1+++=me
a ^at++++=a
notice ^nn++++=notice
on ^in++++=on
intent ^jj++++=intent
to ^to++++=to
sue ^vbi++++=sue
demand ^nn++++=demand
letter ^nn++++=letter
for ^in++++=for
violations ^nns+nom+++=violations
for ^in++++=for
the ^ati++++=the
Telephone ^nn++++=Telephone
Consumer ^nn+nom+++=Consumer
Practices ^nns++++=Practices
Act ^nn++++=Act
for ^in++++=for
the ^ati++++=the
do ^vb+do+aux++=Do
not ^xnot++not++=Not
call ^vb++++=Call
227 ^cd++++=227
( ^zz++++=(
c ^zz++++=c
) ^zz++++=)
5 ^zz++++=5
. ^zz++++=.
