Write ^vb++++=Write
me ^pp1o+pp1+++=me
a ^at++++=a
long ^jj+atrb+++=long
description ^nn+nom+++=description
of ^in++++=of
a ^at++++=a
beautiful ^jj+atrb+++=beautiful
landscape ^nn++++=landscape
in ^in++++=in
Snowdonia ^np+++??+=Snowdonia
also ^rb++++=also
talking ^vbg+++xvbg+=talking
about ^in++++=about
the ^ati++++=the
stars ^nns++++=stars
, ^zz++++=,
the ^ati++++=the
dark ^jj+atrb+++=dark
shadows ^nps++++=shadows
of ^in++++=of
the ^ati++++=the
trees ^nns++++=trees
and ^cc++++=and
a ^at++++=a
large ^jj+atrb+++=large
lake ^nn++++=lake
shimmering ^vbg+++xvbg+=shimmering
in ^in++++=in
the ^ati++++=the
background ^nn++++=background
. ^zz++++=.
