Write ^vb++++=Write
a ^at++++=a
letter ^nn++++=letter
of ^in++++=of
recommendation ^nn+nom+++=recommendation
in ^in++++=in
defense ^nn+++??+=defense
of ^in++++=of
a ^at++++=a
man ^nn++++=man
in ^in++++=in
a ^at++++=a
criminal ^jj+atrb+++=criminal
trial ^nn++++=trial
from ^in++++=from
the ^ati++++=the
perspective ^nn++++=perspective
of ^in++++=of
a ^at++++=a
restaurant ^nn+nom+++=restaurant
owner ^nn++++=owner
of ^in++++=of
a ^at++++=a
neighborhood ^nn+nom+++=neighborhood
deli ^nn+++??+=deli
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
employed ^vprf+++xvbnx+=employed
him ^pp3o+pp3+++=him
for ^in++++=for
5 ^zz++++=5
years ^nns++++=years
as ^in++++=as
a ^at++++=a
delivery ^nn+nom+++=delivery
driver ^nn++++=driver
, ^zz++++=,
and ^cc+cls+++=and
has ^vbz+hvz+aux++=has
known ^vprf+++xvbnx+=known
him ^pp3o+pp3+++=him
and ^cc++++=and
his ^pp$+pp3+++=his
family ^nn++++=family
for ^in++++=for
close ^jj++++=close
to ^to++++=to
20 ^cd++++=20
years ^nns++++=years
. ^zz++++=.
Make ^vb++++=Make
the ^ati++++=the
tone ^nn++++=tone
semi ^nn++++=semi
formal ^jj++++=formal
from ^in++++=from
a ^at++++=a
high ^jj+atrb+++=high
school ^nn++++=school
education ^nn+nom+++=education
level ^nn++++=level
. ^zz++++=.
