How ^wrb+who+++=How
do ^vb+do+vrb++=do
I ^pp1a+pp1+++=I
use ^nn++++=use
testing ^vwbg+++xvbg+=testing
library ^npl+nom+++=library
to ^to++++=to
write ^vbi++++=write
a ^at++++=a
test ^nn++++=test
for ^in++++=for
a ^at++++=a
responsive ^jj+atrb+++=responsive
layout ^nn++++=layout
bug ^nn++++=bug
that ^tht+rel+subj++=that
appears ^vbz+seem+++=appears
when ^wrb+who+++=when
the ^ati++++=the
browser ^jjr++++=browser
is ^vbz+bez+aux++=is
zoomed ^vbd+++xvbn+=zoomed
in ^in++++=in
to ^to++++=to
125 ^cd++++=125%
% ^zz++++=EXTRAWORD
? ^zz++++=?
