Act ^nn++++=Act
as ^ql++++=as
a ^at++++=a
fitness ^nns+nom+++=fitness
trainer ^nn++++=trainer
and ^cc++++=and
build ^vb++++=build
a ^at++++=a
routine ^nn++++=routine
for ^in++++=for
a ^at++++=a
115 ^cd++++=115
pound ^nn++++=pound
, ^zz++++=,
Bmi ^np+++??+=BMI
18 ^cd++++=18
, ^zz++++=,
21 ^cd++++=21
year ^nn++++=year
old ^jj+atrb+++=old
male ^nn++++=male
with ^in++++=with
no ^at++++=no
fitness ^nns+nom+++=fitness
experience ^nn+nom+++=experience
that ^tht+rel+subj++=that
helps ^vbz++++=helps
with ^in++++=with
gaining ^xvbg+++xvbg+=gaining
weight ^nn++++=weight
. ^zz++++=.
You ^pp2+pp2+++=You
can ^md+pos+++=can
also ^rb++splt++=also
include ^vb++++=include
a ^at++++=a
meal ^nn++++=meal
plan ^vb++++=plan
that ^dt+pdem+++=that
optimizes ^vbz++++=optimizes
caloric ^jj+atrb+++=caloric
intake ^nn++++=intake
in ^to++++=in
order ^vb++++=order
to ^to+vcmp+++=to
lose ^vb++++=lose
the ^ati++++=the
most ^ql+emph+++=most
fat ^nn++++=fat
possible ^jj++++=possible
while ^cs+sub+++=while
maintaining ^vbg+++xvbg+=maintaining
muscle ^nn++++=muscle
growth ^nn++++=growth
, ^zz++++=,
if ^cs+cnd+++=if
needed ^vbd+++xvbn+=needed
. ^zz++++=.
