How ^wrb+who+++=How
to ^to++++=to
create ^vbi++++=create
a ^at++++=a
tunnel ^nn++++=tunnel
for ^in++++=for
Enet ^np+++??+=ENet
traffic ^nn++++=traffic
from ^in++++=from
Godot ^np+++??+=Godot
4 ^zz++++=4
Multiplayer ^np+nom++??+=Multiplayer
implementation ^nn+nom+++=implementation
, ^zz++++=,
so ^ql++++=so
my ^pp$+pp1+++=my
players ^nns+nom+++=players
can ^md+pos+++=can
connect ^vb++++=connect
to ^in++++=to
each ^dt++++=each
other ^ap++++=other
without ^in++++=without
knowing ^vbg+vprv++xvbg+=knowing
their ^pp$+pp3+++=their
ips ^np++++=IPs
? ^zz++++=?
