Write ^vb++++=Write
me ^pp1o+pp1+++=me
a ^at++++=a
1000 ^cd++++=1000
word ^nn++++=word
short ^jj+atrb+++=short
story ^nn++++=story
about ^in++++=about
a ^at++++=a
sentient ^jj+atrb+++=sentient
car ^nn++++=car
. ^zz++++=.
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
an ^at++++=an
old ^jj+atrb+++=old
car ^nn++++=car
, ^zz++++=,
but ^cc+cls+++=but
well ^rb++++=well
maintained ^vwbn+vpub++xvbn+=maintained
. ^zz++++=.
The ^ati++++=The
story ^nn++++=story
should ^md+nec+++=should
be ^vb+be+aux++=be
driven ^vpsv++by+xvbnx+=driven
by ^in++++=by
the ^ati++++=the
car ^nn++++=car
' ^zz++++='
s ^zz++++=s
internal ^jj+atrb+++=internal
monologue ^nn++++=monologue
, ^zz++++=,
and ^cc+cls+++=and
its ^pp$+it+++=its
relationship ^nn+nom+++=relationship
with ^in++++=with
its ^pp$+it+++=its
owners ^nns++++=owners
. ^zz++++=.
