Write ^vb++++=Write
a ^at++++=a
informal ^jj+atrb+++=informal
message ^nn+nom+++=message
as ^in++++=as
a ^at++++=a
girlfriend ^nn+++??+=girlfriend
to ^in++++=to
her ^pp$+pp3+++=her
boyfriend ^nn+++??+=boyfriend
explaining ^vwbg+vpub++xvbg+=explaining
how ^wrb+who+whcl++=how
you ^pp2+pp2+++=you
do ^vb+do+vrb++=do
not ^xnot++not++=not
want ^vb++++=want
your ^pp$+pp2+++=your
relationship ^nn+nom+++=relationship
to ^to++++=to
be ^vbi++vrb++=be
toxic ^jj+pred+++=toxic
but ^cc++++=but
be ^vb+be+aux++=be
1+1 ^cd++++=1+1
is ^vbz+bez+vrb++=is
greater ^jjr+pred+++=greater
than ^in++++=than
2 ^zz++++=2
but ^cc++++=but
still ^rb++++=still
be ^vb+be+vrb++=be
able ^jj++pmd"++=able
to ^to+jcmp+pmd++=to
be ^vbi++vrb++=be
your ^pp$+pp2+++=your
own ^ap++++=own
person ^nn++++=person
. ^zz++++=.
