Write ^vb++++=Write
a ^at++++=a
script ^nn++++=script
of ^in++++=of
Master ^nn++++=Master
Chief ^jjb++++=Chief
from ^in++++=from
Halo ^nn++++=Halo
giving ^vwbg+++xvbg+=giving
instructions ^nns+nom+++=instructions
on ^in++++=on
how ^wrb+who+++=how
to ^to++++=to
build ^vbi++++=build
Ikea ^np+++??+=IKEA
furnature ^nn+++??+=furnature
. ^zz++++=.
Make ^vb++++=Make
sure ^jj++++=sure
he ^pp3a+pp3+++=he
uses ^vbz++++=uses
analogies ^nns++++=analogies
of ^in++++=of
how ^wrb+who+++=how
the ^ati++++=the
task ^nn++++=task
is ^vbz+bez+vrb++=is
similar ^jj+pred+++=similar
to ^to++++=to
his ^pp$+pp3+++=his
own ^ap++++=own
experiences ^nns+nom+++=experiences
. ^zz++++=.
