You ^pp2+pp2+++=You
, ^zz++++=,
as ^ql++++=as
an ^at++++=an
It ^pp3+it+++=IT
consultant ^nn+nom+++=consultant
, ^zz++++=,
answer ^nn++++=answer
me ^pp1o+pp1+++=me
. ^zz++++=.
Please ^uh++++=Please
tell ^vb++++=tell
me ^pp1o+pp1+++=me
a ^at++++=a
list ^nn++++=list
of ^in++++=of
questions ^nns+nom+++=questions
to ^to++++=to
ask ^vbi++++=ask
for ^in+ppvb+++=for
It ^pp3+it+++=IT
consulting ^jj+++xvbg+=consulting
to ^in++++=to
a ^at++++=a
company ^nn++++=company
that ^tht+rel+subj++=that
develops ^vbz++++=develops
transportation ^nn+nom+++=transportation-related
- ^zz++++=EXTRAWORD
related ^vpsv++agls+xvbn+=EXTRAWORD
software ^nn++++=software
. ^zz++++=.
