Question ^nn+nom+++=Question
: ^zz++++=:
A ^at++++=A
backlog ^nn++++=backlog
item ^nn++++=item
could ^md+pos+++=could
be ^vb+be+aux++=be
declared ^vpsv++agls+xvbnx+=declared
done ^vbd+++xvbn+=done
when ^wrb+who+++=when
which ^whp+who+++=which
of ^in++++=of
the ^ati++++=the
following ^jj+atrb++xvbg+=following
criteria ^nns++++=criteria
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
met ^vpsv++agls+xvbnx+=met
? ^zz++++=?
Instruction ^nn+nom+++=Instruction
: ^zz++++=:
Choose ^vb++++=Choose
all ^abn++++=all
options ^nns+nom+++=options
that ^tht+rel+++=that
best ^jjt++++=best
answer ^vb++++=answer
the ^ati++++=the
question ^nn+nom+++=question
. ^zz++++=.
Answer ^nn++++=Answer
Choices ^nns++++=Choices
 ^zz++++=.
Quality ^nn+nom+++=Quality
Assurance ^nn+nom+++=Assurance
Testing ^nn++++=testing
Has ^vbz+hvz+aux++=has
Been ^vbd+ben+aux++=been
Completed ^vwbn+++xvbn+=completed
 ^zz++++=.
