( ^zz++++=(
View ^np++++=View
of ^in++++=of
roofs ^nns++++=roofs
on ^in++++=on
houses ^nns++++=houses
from ^in++++=from
top ^jjb+atrb+++=top
view ^nn++++=view
, ^zz++++=,
taken ^xvbn+++xvbn+=taken
in ^rb+phrv+++=in
Kampung ^np+++??+=Kampung
Bandan ^np+++??+=Bandan
Station ^nn+nom+++=Station
, ^zz++++=,
North ^nr+pl+++=North
Jakarta ^np+++??+=Jakarta
) ^zz++++=)
Is ^vbz+bez+vrb++=Is
this ^dt+dem+++=this
grammatically ^rb++++=grammatically
correct ^jj++++=correct
? ^zz++++=?
make ^vb++++=Make
it ^pp3+it+++=it
more ^rbr++++=more
interesting ^jj++++=interesting
but ^cc++++=but
still ^rb++++=still
as ^ql++++=as
short ^jj++++=short
. ^zz++++=.
