Hi ^uh++++=Hi
, ^zz++++=,
I ^pp1a+pp1+++=I
am ^vb+bem+aux++=am
trying ^vbg+++xvbgx+=trying
to ^to+vcmp+++=to
get ^vbi++++=get
some ^dti++++=some
ideas ^nns++++=ideas
on ^in++++=on
how ^wrb+who+++=how
to ^to++++=to
get ^vbi++++=get
100 ^cd++++=100%
% ^zz++++=EXTRAWORD
payment ^nn+nom+++=payment
upfront ^vbd+++xvbn+=upfront
from ^in++++=from
client ^nn++++=client
for ^in++++=for
a ^at++++=a
sales ^nns++++=sales
funnel ^nn++++=funnel
building ^vwbg+++xvbg+=building
services ^nns++++=services
that ^tht+rel+obj++=that
I ^pp1a+pp1+++=I
provide ^vb+vsua+++=provide
to ^in++++=to
my ^pp$+pp1+++=my
client ^nn++++=client
. ^zz++++=.
I ^pp1a+pp1+++=I
need ^nn++++=need
you ^pp2+pp2+++=you
to ^to++++=to
give ^vbi++++=give
me ^pp1o+pp1+++=me
some ^dti++++=some
" ^zz++++="
reasons ^nns++++=reasons
" ^zz++++="
on ^in++++=on
why ^wrb+who+++=why
my ^pp$+pp1+++=my
client ^nn++++=client
should ^md+nec+++=should
pay ^vb++++=pay
100 ^cd++++=100%
% ^zz++++=EXTRAWORD
upfront ^jj+++xvbn+=upfront
instead ^rb+cnj+++=instead
of ^in++++=of
50 ^cd++++=50%
% ^zz++++=EXTRAWORD
deposit ^vb++++=deposit
upfront ^vbd+++xvbn+=upfront
and ^cc++++=and
50 ^cd++++=50%
% ^zz++++=EXTRAWORD
upon ^in++++=upon
service ^nn++++=service
completion ^nn+nom+++=completion
. ^zz++++=.
But ^cc+cls+++=But
before ^in++++=before
that ^dt+pdem+++=that
, ^zz++++=,
I ^pp1a+pp1+++=I
will ^md+prd+++=will
give ^vb++++=give
you ^pp2+pp2+++=you
some ^dti++++=some
context ^nn++++=context
. ^zz++++=.
Please ^uh++++=Please
only ^rb+down+++=only
response ^nn++++=response
when ^wrb+who+++=when
you ^pp2+pp2+++=you
see ^vb+vprv+++=see
the ^ati++++=the
word ^nn++++=word
" ^zz++++="
greenlight ^nn++++=greenlight
" ^zz++++="
. ^zz++++=.
understand ^vb+vprv+++=Understand
? ^zz++++=?
