I ^pp1a+pp1+++=I
need ^vb++pmd"++=need
to ^to+vcmp+pmd++=to
create ^vb++++=create
a ^at++++=a
web ^nn++++=web
application ^nn+nom+++=application
that ^tht+rel+subj++=that
will ^md+prd+++=will
open ^vb++++=open
an ^at++++=an
Excel ^np+++??+=Excel
file ^nn++++=file
on ^in++++=on
a ^at++++=a
server ^nn++++=server
and ^cc++++=and
render ^vb++++=render
it ^pp3+it+++=it
read ^vb+vprv+++=read
only ^rb+down+++=only
in ^in++++=in
a ^at++++=a
browser ^jjr+atrb+++=browser
window ^nn++++=window
. ^zz++++=.
