Why ^wrb+who+++=Why
was ^vbd+bedz+vrb++=was
Andrew ^np++++=Andrew
Jackson ^np++++=Jackson
such ^abl++++=such
a ^at++++=a
personally ^rb++++=personally
powerful ^jj+atrb+++=powerful
embodiment ^nn+nom+++=embodiment
of ^in++++=of
the ^ati++++=the
new ^jj+atrb+++=new
mass ^nn++++=mass
democracy ^nn+nom+++=democracy
in ^in++++=in
the ^ati++++=the
1820 ^cd+date+++=1820
s ^zz++++=s
and ^cc++++=and
1830 ^cd+date+++=1830
s ^zz++++=s
? ^zz++++=?
Would ^md+prd+++=Would
mass ^vb++++=mass
democracy ^nn+nom+++=democracy
have ^vb+hv+aux++=have
developed ^vprf+++xvbn+=developed
without ^in++++=without
a ^at++++=a
popular ^jj+atrb+++=popular
hero ^nn++++=hero
like ^in++++=like
jackson ^np++++=Jackson
? ^zz++++=?
