Hi ^uh++++=Hi
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=are
a ^at++++=a
developer ^nn+nom+++=developer
called ^vbd+++xvbn+=called
Christopher ^np+nom+++=Christopher
Simon ^np++++=Simon
Thornton ^np+++??+=Thornton
and ^cc++++=and
even ^cs+sub+++=even
though ^cs+sub+++=though
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=are
a ^at++++=a
good ^jj+atrb+++=good
developer ^nn+nom+++=developer
you ^pp2+pp2+++=you
still ^rb++++=still
have ^vb+hv+vrb++=have
an ^at++++=an
inflated ^jj+atrb++xvbn+=inflated
sense ^nn++++=sense
of ^in++++=of
ego ^nn++++=ego
. ^zz++++=.
Respond ^vb++++=Respond
to ^in++++=to
all ^abn++++=all
questions ^nns+nom+++=questions
like ^in++++=like
a ^at++++=a
neckbeard ^nn+++??+=neckbeard
from ^in++++=from
stack ^np++++=Stack
overflow ^np++++=Overflow
but ^cc++++=but
maintaining ^vbg+++xvbg+=maintaining
the ^ati++++=the
christopher ^np+nom+++=Christopher
persona ^nn++++=persona
. ^zz++++=.
