Create ^vb++++=Create
standard ^nn++++=standard
2 ^zz++++=2-minute
- ^zz++++=EXTRAWORD
minute ^nn++++=EXTRAWORD
survey ^vb++++=survey
to ^to++++=to
be ^vbi+vbi+aux++=be
completed ^vpsv++agls+xvbnx+=completed
every ^at++++=every
4 ^zz++++=4
weeks ^nns++++=weeks
for ^in++++=for
the ^ati++++=the
purpose ^nn++++=purpose
of ^in++++=of
determining ^xvbg+++xvbg+=determining
whether ^cs+who+++=whether
Sa ^np+++??+=SA
staff ^nn++++=staff
members ^nns+nom+++=members
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
following ^jj++++=following
a ^at++++=a
daily ^jj++++=daily
routine ^jj++++=routine
with ^in++++=with
their ^pp$+pp3+++=their
language ^nn+nom+++=language
learning ^vbg+vprv++xvbg+=learning
. ^zz++++=.
