Write ^vb++++=Write
a ^at++++=a
vocabulary ^nn+nom+++=vocabulary
exercise ^nn++++=exercise
at ^rb++++=at
level ^nn++++=level
B2 ^np+++??+=B2
of ^in++++=of
the ^ati++++=the
following ^jj+atrb++xvbg+=following
words ^nns++++=words
: ^zz++++=:
vaccination ^nn+nom+++=vaccination
, ^zz++++=,
to ^to++++=to
suffer ^vbi++++=suffer
, ^zz++++=,
regularly ^rb+cnj+++=regularly
, ^zz++++=,
humiliated ^j+++xvbn+=humiliated
, ^zz++++=,
institution ^nn+nom+++=institution
, ^zz++++=,
death ^nn++++=death
rate ^nn++++=rate
, ^zz++++=,
emergency ^nn++++=emergency
room ^nn++++=room
, ^zz++++=,
pediatrician ^jj++++=pediatrician
, ^zz++++=,
to ^in++++=to
manage ^vb++++=manage
, ^zz++++=,
to ^in++++=to
witness ^nn++++=witness
. ^zz++++=.
