Write ^vb++++=Write
a ^at++++=a
service ^nn++++=service
description ^nn+nom+++=description
for ^in++++=for
a ^at++++=a
sole ^jjb++++=sole
icing ^jj+++xvbg+=icing
of ^in++++=of
a ^at++++=a
shoe ^nn++++=shoe
. ^zz++++=.
A ^at++++=A
sole ^jjb++++=sole
icing ^xvbg+++xvbg+=icing
consist ^nn+nom+++=consist
of ^in++++=of
a ^at++++=a
cleaning ^jj+++xvbg+=cleaning
of ^in++++=of
the ^ati++++=the
sole ^jjb++++=sole
and ^cc++++=and
a ^at++++=a
deoxidation ^nn+nom+++=deoxidation
process ^nns+nom+++=process
to ^to++++=to
brighten ^vb++++=brighten
the ^ati++++=the
soles ^nns++++=soles
. ^zz++++=.
