Write ^vb++++=Write
a ^at++++=a
scene ^nn++++=scene
from ^in++++=from
a ^at++++=a
screenplay ^nn+++??+=screenplay
about ^in++++=about
Rey ^np+++??+=Rey
Skywalker ^np+nom++??+=Skywalker
confronting ^vwbg+++xvbg+=confronting
her ^pp3o+pp3+++=her
intrusive ^jj+atrb+++=intrusive
thoughts ^nns++++=thoughts
that ^tht+ncmp+obj++=that
she ^pp3a+pp3+++=she
' ^zz++++='
s ^zz++++=s
been ^vprf+ben+aux+xvbn+=been
struggling ^nvbg+++xvbg+=struggling
with ^in++++=with
since ^cs+sub+++=since
learning ^vbg+vprv++xvbg+=learning
of ^in++++=of
her ^pp$+pp3+++=her
bloodline ^nn+++??+=bloodline
. ^zz++++=.
Make ^vb++++=Make
sure ^jj++++=sure
to ^to+jcmp+++=to
utilize ^vbi++++=utilize
the ^ati++++=the
dark ^jj+atrb+++=dark
side ^nn++++=side
rey ^np++++=Rey
from ^in++++=from
episode ^nn++++=Episode
ix ^np++++=IX
. ^zz++++=.
