Correct ^jj++++=Correct
this ^dt+dem+++=this
email ^nn+++??+=email
for ^in++++=for
me ^pp1o+pp1+++=me
. ^zz++++=.
Hi ^uh++++=Hi
Debbie ^np+++??+=Debbie
. ^zz++++=.
Thanks ^rb+dspt+++=Thanks
a ^at++++=a
lot ^nn++++=lot
for ^in++++=for
thinking ^xvbg+++xvbg+=thinking
of ^in++++=of
us ^pp1o+pp1+++=us
with ^in++++=with
respect ^nn++++=respect
to ^in++++=to
that ^dt+dem+++=that
project ^nn++++=project
! ^zz++++=!
And ^cc+cls+++=And
congrats ^nns+++??+=congrats
for ^in++++=for
winning ^xvbg+++xvbg+=winning
the ^ati++++=the
tender ^nn++++=tender
here ^rn+pl+++=here
, ^zz++++=,
that ^dt+pdem+++=that
is ^vbz+bez+vrb++=is
a ^at++++=a
big ^jj+atrb+++=big
achievement ^nn+nom+++=achievement
! ^zz++++=!
I ^pp1a+pp1+++=I
will ^md+prd+++=will
look ^vb++++=look
into ^in+ppvb+++=into
the ^ati++++=the
documents ^nns+nom+++=documents
as ^in++++=as
soon ^rb+tm+++=soon
as ^in++++=as
possible ^jj++++=possible
, ^zz++++=,
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
on ^in++++=on
a ^at++++=a
business ^nns+nom+++=business
trip ^nn++++=trip
right ^jj++++=right
now ^rn+tm+++=now
. ^zz++++=.
Can ^md+pos+++=Can
you ^pp2+pp2+++=you
tell ^vb++++=tell
me ^pp1o+pp1+++=me
by ^in++++=by
when ^wrb+who+++=when
you ^pp2+pp2+++=you
would ^md+prd+++=would
need ^vb++++=need
them ^pp3o+pp3+++=them
, ^zz++++=,
so ^ql++++=so
that ^cs+sub+++=that
I ^pp1a+pp1+++=I
can ^md+pos+++=can
plan ^vb++++=plan
it ^pp3+it+++=it
accordindly ^jj++++=accordindly
. ^zz++++=.
cheers ^nns++++=Cheers
! ^zz++++=!
warm ^jj+atrb+++=Warm
greetings ^nns++++=greetings
from ^in++++=from
n ^zz++++=N
rnberg ^nn++++=rnberg
dominik ^np++++=Dominik
. ^zz++++=.
