Generate ^nn+nom+++=Generate
a ^at++++=a
short ^jj+atrb+++=short
love ^nn++++=love
story ^nn++++=story
. ^zz++++=.
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
about ^in++++=about
a ^at++++=a
man ^nn++++=man
reunited ^vwbn+++xvbn+=reunited
with ^in++++=with
his ^pp$+pp3+++=his
lover ^nn++++=lover
he ^pp3a+pp3+++=he
thought ^vbd+++xvbnx+=thought
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
done ^vpsv++agls+xvbnx+=done
with ^in+strn+++=with
. ^zz++++=.
They ^pp3a+pp3+++=They
came ^vbd+++xvbnx+=came
together ^nn+nom+++=together
again ^rb+tm+++=again
and ^cc++++=and
found ^vbd+vprv++xvbn+=found
passion ^nn++++=passion
never ^rb++++=never
felt ^vbd+vprv++xvbn+=felt
before ^in+strn+++=before
. ^zz++++=.
Speculate ^nn+nom+++=Speculate
about ^in++++=about
the ^ati++++=the
future ^nn++++=future
of ^in++++=of
that ^dt+dem+++=that
lover ^nn++++=lover
pair ^nn++++=pair
. ^zz++++=.
His ^pp$+pp3+++=His
name ^nn++++=name
is ^vbz+bez+vrb++=is
Daniel ^np++++=Daniel
, ^zz++++=,
and ^cc+cls+++=and
her ^pp$+pp3+++=her
name ^nn++++=name
is ^vbz+bez+vrb++=is
Ines ^np+++??+=Ines
. ^zz++++=.
Daniel ^np++++=Daniel
left ^vbd+++xvbn+=left
Ines ^np+++??+=Ines
And ^cc++++=and
They ^pp3a+pp3+++=they
Were ^vbd+bed+aux++=were
Reunited ^vpsv++agls+xvbn+=reunited
After ^in++++=after
About ^in++++=about
Two ^cd++++=two
Months ^nns++++=months
 ^zz++++=.
