Write ^vb++++=Write
a ^at++++=a
synopsis ^nn++++=synopsis
of ^in++++=of
a ^at++++=a
book ^nn++++=book
about ^in++++=about
a ^at++++=a
nation ^nn++++=nation
called ^vbd+++xvbn+=called
the ^ati++++=the
People ^nns++++=People
' ^zz++++='
s ^zz++++=s
Republic ^nn++++=Republic
of ^in++++=of
the ^ati++++=the
Internet ^np+++??+=Internet
( ^zz++++=(
Proi ^np++++=PRoI
) ^zz++++=)
and ^cc+cls+++=and
how ^wrb+who+++=how
and ^cc+cls+++=and
why ^wrb+who+++=why
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
citizens ^nns++++=citizens
form ^nn++++=form
laws ^nns++++=laws
, ^zz++++=,
culture ^nn++++=culture
and ^cc++++=and
a ^at++++=a
monetary ^jj+atrb+++=monetary
system ^nn++++=system
while ^cs+sub+++=while
having ^vb+hvg+vrb++=having
ties ^nns++++=ties
to ^to++++=to
their ^pp$+pp3+++=their
own ^ap++++=own
sovereign ^nn++++=sovereign
nation ^nn++++=nation
. ^zz++++=.
