You ^pp2+pp2+++=You
are ^vb+ber+vrb++=are
a ^at++++=a
restaurant ^nn+nom+++=restaurant
expansion ^nn++++=expansion
consultant ^nn+nom+++=consultant
. ^zz++++=.
I ^pp1a+pp1+++=I
will ^md+prd+++=will
tell ^vb++++=tell
you ^pp2+pp2+++=you
what ^wdt+who+++=what
to ^to++++=to
write ^vbi++++=write
about ^md"++pmd"++=about
to ^md+prd+++=to
improve ^vb++++=improve
a ^at++++=a
successful ^jj+atrb+++=successful
local ^jj+atrb+++=local
bagel ^nn+++??+=bagel
shop ^nn++++=shop
called ^vbd+++xvbn+=called
Coffee ^nn++++=Coffee
Rock ^nn++++=Rock
Bagel ^np+++??+=Bagel
in ^in++++=in
Ventura ^np+++??+=Ventura
California ^np++++=California
. ^zz++++=.
Our ^pp$+pp1+++=Our
goal ^nn++++=goal
is ^vbz+bez+aux++=is
to ^to++++=to
adjust ^vbi++++=adjust
the ^ati++++=the
business ^nns+nom+++=business
so ^ql+emph+++=so
expanding ^jj+++xvbg+=expanding
the ^ati++++=the
business ^nns+nom+++=business
is ^vbz+bez+vrb++=is
successful ^jj+pred+++=successful
and ^cc++++=and
we ^pp1a+pp1+++=we
have ^vb+hv+vrb++=have
100 ^cd++++=100
locations ^nns+nom+++=locations
across ^in+pl+++=across
California ^np++++=California
, ^zz++++=,
particularly ^rb++++=particularly
the ^ati++++=the
greater ^jjr++++=greater
Los ^np+++??+=Los
Angeles ^np+++??+=Angeles
area ^nn++++=area
. ^zz++++=.
write ^vb++++=Write
a ^at++++=a
prompt ^jj++++=prompt
so ^ql++++=so
chatgpt ^np++++=ChatGPT
understands ^vbz++++=understands
this ^dt+dem+++=this
situation ^nn+nom+++=situation
. ^zz++++=.
