Write ^vb++++=Write
an ^at++++=an
agreement ^nn+nom+++=agreement
to ^to+ncmp+++=to
engage ^vbi++++=engage
Baker ^np++++=Baker
Property ^nn++++=Property
Inspections ^nns+nom+++=Inspections
Llc ^np+++??+=LLC
to ^to++++=to
do ^vbi++++=do
field ^nn++++=field
service ^nn++++=service
work ^nn++++=work
for ^in++++=for
submission ^nn++++=submission
to ^in++++=to
a ^at++++=a
separate ^jj+atrb+++=separate
engineering ^nn++++=engineering
firm ^nn++++=firm
for ^in++++=for
permanent ^jj+atrb+++=Permanent
foundation ^nn+nom+++=Foundation
certification ^np+nom+++=Certification
. ^zz++++=.
